Concepto;Fecha;Importe;Saldo
REPSOL BUTANO SUMINISTRO;05/01/2025;-976,47;49023,53
ENDESA ENERGIA FACTURA;10/01/2025;-317,02;48706,51
FERRETERIA SON SERVERA MATERIAL;15/01/2025;-1523,50;47183,01
CIMENT MALLORCA SUMINISTRO 1;20/01/2025;-1135,20;46047,81
CIMENT MALLORCA SUMINISTRO 2;25/01/2025;-390,83;45656,98
LEROY MERLIN MATERIAL OBRA 1;28/01/2025;-378,73;45278,25
LEROY MERLIN MATERIAL OBRA 2;30/01/2025;-959,53;44318,72
TELEFONICA FACTURA ENERO;05/02/2025;-1460,80;42857,92
GESTORIA MALLORCA HONORARIOS 1;10/02/2025;-1147,08;41710,84
GESTORIA MALLORCA HONORARIOS 2;15/02/2025;-1114,41;40596,43
GRUES MAQUINARIA BALEAR ALQUILER;18/02/2025;-171,60;40424,83
FUSTERIA CAN PERE TRABAJOS;20/02/2025;-1208,79;39216,04
TRANSPORT MALLORCA EXPRESS;25/02/2025;-1576,63;37639,41
COBRO HOTEL MARINA CALA MILLOR;05/03/2025;33322,19;70961,60
COBRO PROMOTORA LLEVANT;10/03/2025;10264,43;81226,03
COBRO RESTAURANTE ES PORT;15/03/2025;31651,18;112877,21
COBRO COMUNITAT PROPIETARIS;20/03/2025;27341,16;140218,37
COBRO REFORMA INTEGRAL MANACOR;25/03/2025;37240,17;177458,54
TGSS MARZO CUOTA AUTONOMOS;28/03/2025;-1200,00;176258,54
COMISION MANTENIMIENTO CUENTA;31/03/2025;-18,50;176240,04
